2,3,6,9,14,15,20,23,26,27,32,33,38,41,44,46,50,
2,3,6,9,14,15,20,23,25,27,30,33,38,41,44,45,50,
1,5,6,9,14,15,18,23,24,28,30,33,37,41,44,47,50,
1,5,6,9,12,15,18,22,26,27,30,33,36,41,44,47,50,
1,5,6,9,14,17,19,23,26,29,30,33,36,41,44,47,50,
1,5,6,9,14,17,18,23,26,27,30,33,36,41,44,45,50,
1,3,6,9,14,17,18,23,26,27,30,33,38,41,43,45,50,
2,3,6,9,14,16,18,23,26,27,30,33,38,41,44,45,50,
2,3,6,9,14,15,20,23,26,27,30,33,38,41,44,45,50,
1,5,8,11,12,16,18,21,25,29,30,35,36,39,42,45,50,
2,3,6,9,14,15,19,23,24,27,30,33,38,39,44,46,50,
2,3,6,9,14,16,19,23,25,27,30,33,38,41,44,47,50,
1,5,8,11,12,16,18,21,25,27,30,35,36,39,44,45,50,
1,5,8,11,12,17,19,21,25,29,32,34,36,41,42,47,50,
2,3,6,9,13,15,20,23,25,27,30,33,38,41,43,45,50,
2,3,6,9,13,15,20,23,25,27,32,33,38,41,44,45,50,
1,5,8,9,12,15,20,21,26,29,32,34,36,41,43,47,48,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,44,45,49,
2,3,6,9,14,15,19,23,24,27,30,33,38,41,44,45,50,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,47,50,
1,5,8,11,12,17,18,21,26,29,30,33,36,40,42,47,50,
1,5,8,11,13,17,18,21,26,29,30,35,36,39,43,45,50,
1,5,8,11,12,17,19,21,26,29,30,35,36,39,42,45,49,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,45,50,
1,5,8,11,12,17,18,21,25,29,30,35,36,39,42,45,48,
1,5,8,11,12,17,18,21,26,29,32,35,36,39,42,45,48,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,47,48,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,47,50,
2,3,8,11,14,15,20,23,26,29,30,35,38,39,44,45,48,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,47,50,
2,3,6,9,14,15,20,23,24,27,30,33,38,41,44,45,50,
1,5,8,11,12,17,18,21,25,29,30,35,36,39,42,47,50,
1,5,8,11,12,17,18,21,26,29,32,35,36,39,44,45,50,
2,3,6,9,14,15,20,23,26,27,30,33,38,41,44,45,50,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,45,50,
2,3,6,9,14,15,20,23,24,27,30,33,38,41,44,45,50,
2,3,6,9,14,15,20,23,26,29,32,33,38,41,43,45,49,
2,3,6,9,14,15,18,23,26,29,30,33,38,41,44,45,50,
2,3,6,9,14,15,20,23,24,27,32,33,38,41,44,45,50,
1,5,8,11,12,17,18,21,26,29,32,35,36,39,44,47,48,
1,5,8,11,12,15,18,21,25,29,30,35,36,39,42,46,50,
1,5,8,11,12,17,18,21,25,29,30,35,36,39,42,45,50,
1,5,8,11,12,15,18,21,26,29,30,35,36,39,42,45,48,
1,5,8,11,12,17,18,21,26,29,30,35,36,39,42,45,48,
1,5,8,11,12,15,18,21,25,29,30,35,36,39,42,47,50,
1,5,8,11,12,17,18,21,25,29,30,34,36,39,42,47,50,
1,5,8,11,12,15,18,21,26,29,30,35,36,39,42,45,50,
1,5,8,11,12,15,18,21,25,29,30,34,36,39,42,45,48,
1,5,8,11,14,15,18,21,26,29,30,33,36,39,42,45,50,
